City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
Obo,CF,5.3998,26.4869,76.33,75,85,5.91,light rain
Matagami,CA,49.7502,-77.6328,35.71,64,100,31.07,overcast clouds
Russell,US,32.3502,-85.1999,77.97,57,40,0.0,scattered clouds
Pierre,US,44.3683,-100.351,40.86,71,100,34.52,overcast clouds
Waingapu,ID,-9.6567,120.2641,76.73,83,19,6.35,few clouds
Pafos,CY,34.7667,32.4167,70.23,83,0,9.22,clear sky
Manokwari,ID,-0.8667,134.0833,78.73,81,100,1.63,overcast clouds
Paka,MY,4.6374,103.4368,80.53,94,53,0.0,broken clouds
Cayenne,GF,4.9333,-52.3333,87.84,6,75,12.66,broken clouds
Suntar,RU,62.1444,117.6319,25.18,92,100,3.11,overcast clouds
Buala,SB,-8.145,159.5921,79.2,82,100,4.05,light rain
Lappeenranta,FI,61.0587,28.1887,44.65,57,0,12.66,clear sky
Broken Hill,AU,-31.95,141.4333,64.11,59,100,13.8,overcast clouds
Angul,IN,20.85,85.1,86.0,42,5,6.11,clear sky
Bereda,ES,43.2686,-7.5406,59.41,84,100,4.32,overcast clouds
Eureka,US,40.8021,-124.1637,53.2,82,64,1.01,broken clouds
Piacabucu,BR,-10.4056,-36.4344,84.52,61,9,11.21,clear sky
Pak Phanang,TH,8.3511,100.202,83.16,76,86,4.68,overcast clouds
Nome,US,64.5011,-165.4064,35.67,93,100,0.0,overcast clouds
Chiredzi,ZW,-21.05,31.6667,73.49,59,0,5.46,clear sky
Samana,DO,19.2056,-69.3369,82.36,83,75,9.22,broken clouds
Malvern,US,34.3623,-92.813,79.02,77,84,11.95,broken clouds
Sivagiri,IN,9.3333,77.4333,79.68,83,78,5.46,broken clouds
Gribanovskiy,RU,51.4579,41.9764,54.05,75,99,8.21,overcast clouds
Katherine,AU,-14.4667,132.2667,77.32,57,82,4.61,broken clouds
Nijar,ES,36.9665,-2.206,62.65,77,20,12.66,few clouds
Zeya,RU,53.75,127.2667,28.11,57,0,4.94,clear sky
Snezhnogorsk,RU,69.1933,33.2531,38.98,78,99,13.47,overcast clouds
Tilichiki,RU,60.4667,166.1,23.63,84,100,11.86,overcast clouds
Port-Gentil,GA,-0.7193,8.7815,80.56,78,20,2.3,few clouds
Barcelos,PT,41.5388,-8.6151,61.92,68,86,6.02,overcast clouds
Ust-Maya,RU,60.4167,134.5333,17.49,96,34,1.19,scattered clouds
Gorele,TR,41.0308,39.0031,56.48,80,3,6.15,clear sky
Roseburg,US,43.2165,-123.3417,54.18,75,0,0.0,clear sky
Las Palmas,ES,28.4204,-14.0131,70.59,40,20,4.61,few clouds
Isangel,VU,-19.55,169.2667,77.32,76,92,12.03,overcast clouds
West Haven,US,41.2706,-72.9471,63.12,52,0,18.41,clear sky
Yaan,NG,7.3833,8.5667,87.6,54,77,8.46,broken clouds
Hualmay,PE,-11.0964,-77.6139,72.75,72,74,11.3,broken clouds
Boyolangu,ID,-8.1181,111.8935,76.17,92,100,0.94,light rain
Tyukhtet,RU,56.5389,89.3011,25.2,82,58,6.02,broken clouds
Teguldet,RU,57.3064,88.1667,27.63,93,87,5.35,overcast clouds
Smirnykh,RU,49.75,142.8333,31.21,83,74,12.06,broken clouds
Paso De Carrasco,UY,-34.8603,-56.0522,73.85,33,0,16.11,clear sky
Caravelas,BR,-17.7125,-39.2481,87.78,56,13,8.59,few clouds
Viedma,AR,-40.8135,-62.9967,70.2,36,100,21.09,overcast clouds
Brisbane,AU,-27.4679,153.0281,66.58,92,75,6.91,light intensity shower rain
Flin Flon,CA,54.7682,-101.865,24.64,58,40,12.66,scattered clouds
Qaqortoq,GL,60.7167,-46.0333,38.75,86,86,10.67,overcast clouds
College,US,64.8569,-147.8028,37.22,73,40,0.0,scattered clouds
Faya,SA,18.3851,42.4509,68.11,44,34,4.74,scattered clouds
Jiayuguan,CN,39.8167,98.3,62.74,16,18,7.78,few clouds
Mount Gambier,AU,-37.8333,140.7667,44.51,100,67,0.0,fog
Dom Pedrito,BR,-30.9828,-54.6731,75.7,36,0,12.95,clear sky
Along,IN,28.1667,94.7667,65.43,96,78,2.82,broken clouds
Ligayan,PH,4.6533,119.4706,83.46,76,79,9.15,broken clouds
Adrar,MR,20.5022,-10.0711,91.45,16,0,14.41,clear sky
Te Anau,NZ,-45.4167,167.7167,46.67,85,64,0.43,broken clouds
Okhotsk,RU,59.3833,143.3,21.2,99,49,5.12,scattered clouds
Tahta,EG,26.7693,31.5021,85.21,12,0,12.21,clear sky
Whyalla,AU,-33.0333,137.5833,58.89,94,100,3.44,overcast clouds
Shetpe,KZ,44.1667,52.1167,65.14,32,0,9.06,clear sky
Phulji,PK,26.8825,67.6807,97.12,13,30,9.51,scattered clouds
Russellville,US,35.2784,-93.1338,75.15,75,100,10.85,overcast clouds
Basco,PH,20.4487,121.9702,81.05,86,4,17.85,clear sky
Okakarara,NA,-20.5833,17.4333,71.58,32,17,3.87,few clouds
Forest Grove,US,45.5198,-123.1107,57.45,79,61,1.01,broken clouds
Ucluelet,CA,48.9329,-125.5528,49.08,88,100,1.99,light rain
Carbonia,IT,39.1672,8.5222,67.15,73,0,12.26,clear sky
Ramhormoz,IR,31.28,49.6035,86.86,18,100,3.24,overcast clouds
Bayanday,RU,53.0661,105.5139,28.53,63,100,6.22,overcast clouds
Puerto Gaitan,CO,4.3133,-72.0816,88.65,57,87,11.34,overcast clouds
Salinopolis,BR,-0.6136,-47.3561,75.97,89,100,6.24,overcast clouds
Dimona,IL,31.0667,35.0333,67.69,50,3,15.37,clear sky
Bandarbeyla,SO,9.4942,50.8122,82.33,72,0,10.51,clear sky
Robertsport,LR,6.7533,-11.3686,83.32,77,71,15.77,broken clouds
Toamasina,MG,-18.1667,49.3833,75.15,86,100,7.31,light rain
Prince George,CA,53.9166,-122.753,50.25,51,75,10.36,broken clouds
Moussoro,TD,13.6408,16.4901,100.26,8,61,6.02,broken clouds
Siocon,PH,7.7061,122.1353,78.89,87,99,3.91,overcast clouds
Garut,ID,-7.2024,107.8878,70.52,93,100,2.44,overcast clouds
Leningradskiy,RU,69.3833,178.4167,13.64,97,98,3.44,overcast clouds
Beloha,MG,-25.1667,45.05,77.07,68,92,3.58,overcast clouds
La Ronge,CA,55.1001,-105.2842,34.02,64,75,9.22,broken clouds
Chifeng,CN,42.2683,118.9636,54.73,39,18,3.24,few clouds
Sungaipenuh,ID,-2.0833,101.3833,65.79,97,100,0.74,overcast clouds
Progreso,MX,21.2833,-89.6667,91.51,54,1,11.97,clear sky
Lahaina,US,20.8783,-156.6825,75.81,87,49,11.88,scattered clouds
Bakaly,RU,55.1789,53.8028,51.75,70,97,7.38,overcast clouds
Craig,US,40.5153,-107.5464,39.15,70,100,10.36,overcast clouds
Jumla,NP,29.2747,82.1838,50.07,32,4,3.98,clear sky
Sao Felix Do Xingu,BR,-6.6447,-51.995,88.75,56,99,4.65,overcast clouds
Husavik,IS,66.0449,-17.3389,43.34,81,64,3.56,broken clouds
Camaqua,BR,-30.8511,-51.8122,76.12,33,0,8.9,clear sky
Ostersund,SE,63.1792,14.6357,48.65,40,0,6.91,clear sky
Andros Town,BS,24.7,-77.7667,80.56,71,40,19.22,scattered clouds
Uspenka,UA,48.3903,39.1619,59.43,73,100,4.29,overcast clouds
Chapais,CA,49.7834,-74.8492,38.98,68,100,12.39,overcast clouds
Muros,ES,42.7762,-9.0603,63.68,83,100,6.98,overcast clouds
Tual,ID,-5.6667,132.75,83.86,67,78,5.48,broken clouds
Redcliffe,AU,-27.2307,153.0973,66.88,88,75,6.91,light intensity shower rain
Uaua,BR,-9.8414,-39.4817,93.56,31,90,19.13,overcast clouds
Sosnovo,RU,60.5514,30.2144,43.25,81,95,10.74,light rain
Harlingen,US,26.1906,-97.6961,86.05,39,39,24.05,scattered clouds
Saint-Felix-De-Valois,CA,46.1668,-73.4324,49.24,44,97,5.01,overcast clouds
San Cristobal,VE,7.7669,-72.225,69.98,54,92,5.21,overcast clouds
Sistranda,NO,63.7256,8.834,51.76,82,98,18.63,overcast clouds
Baculin,PH,7.4525,126.5842,77.86,85,100,3.38,overcast clouds
Auki,SB,-8.7676,160.7034,77.2,87,64,3.02,broken clouds
Otjimbingwe,NA,-22.35,16.1333,73.27,37,0,10.87,clear sky
Ust-Nera,RU,64.5667,143.2,8.38,98,98,4.76,overcast clouds
Djambala,CG,-2.5447,14.7533,69.1,92,100,1.97,overcast clouds
Moscow,RU,55.7522,37.6156,50.45,76,100,7.18,light rain
Cap Malheureux,MU,-19.9842,57.6142,75.47,75,98,7.0,overcast clouds
Niamey,NE,13.5137,2.1098,109.69,5,0,9.22,clear sky
Susanville,US,40.4163,-120.653,51.8,49,0,4.61,clear sky
Saint-Francois,FR,46.4154,3.9054,54.84,88,100,2.3,moderate rain
Thayetmyo,MM,19.3167,95.1833,88.23,55,17,7.4,few clouds
Batticaloa,LK,7.7102,81.6924,82.94,77,33,5.95,scattered clouds
Valparaiso,CL,-33.0393,-71.6273,62.24,87,100,6.91,mist
Gambela,ET,8.25,34.5833,81.32,63,100,4.27,overcast clouds
Ilhabela,BR,-23.7781,-45.3581,76.57,79,25,6.49,scattered clouds
Mazamari,PE,-11.3258,-74.5308,89.13,51,100,2.57,overcast clouds
Norrtalje,SE,59.758,18.705,44.44,65,6,9.95,clear sky
Noyabrsk,RU,63.1994,75.4507,17.87,92,100,0.89,overcast clouds
Tecoanapa,MX,16.5167,-98.75,85.19,58,1,9.78,clear sky
Syracuse,IT,37.0881,15.2792,71.31,60,81,5.1,broken clouds
Vestmannaeyjar,IS,63.4427,-20.2734,47.39,76,0,16.11,clear sky
Nishihara,JP,26.1842,127.7558,75.25,97,20,10.36,few clouds
Kristiinankaupunki,FI,62.2743,21.376,43.75,68,20,3.85,few clouds
Cockburn Town,TC,21.4612,-71.1419,82.36,57,40,18.41,scattered clouds
Westport,US,41.1415,-73.3579,63.32,49,0,18.41,clear sky
Magnitogorsk,RU,53.4186,59.0472,49.03,27,40,6.71,scattered clouds
Sola,VU,-13.8833,167.55,80.71,72,95,1.3,overcast clouds
Terekli-Mekteb,RU,44.1671,45.8698,56.91,51,0,13.62,clear sky
Tucuman,AR,-26.8241,-65.2226,75.2,64,20,3.44,few clouds
Khandyga,RU,62.6667,135.6,12.43,98,60,1.48,broken clouds
Fort Smith,US,35.3859,-94.3986,69.85,94,100,6.91,thunderstorm with rain
Manavgat,TR,36.7867,31.4431,68.56,58,0,1.43,clear sky
Arroyo,ES,41.6096,-4.7969,61.61,56,75,6.91,broken clouds
Qasigiannguit,GL,68.8193,-51.1922,29.01,94,100,4.36,light snow
Escarcega,MX,18.6089,-90.7454,93.7,36,1,5.61,clear sky
Saint-Leu,RE,-21.15,55.2833,74.32,70,98,6.24,overcast clouds
Kisangani,CD,0.5167,25.2,72.52,99,99,2.89,light rain
San Buenaventura,MX,27.0833,-101.5333,85.48,44,0,4.47,clear sky
Blagoyevo,RU,63.3667,47.9167,32.34,95,99,4.03,overcast clouds
Gizo,SB,-8.103,156.8419,81.54,75,53,3.67,light rain
Roebourne,AU,-20.7833,117.1333,79.3,60,1,6.69,light rain
Butterworth,MY,5.3991,100.3638,82.44,94,40,3.44,scattered clouds
Hamilton,US,39.1834,-84.5333,80.56,52,95,8.01,overcast clouds
Fort Nelson,CA,58.8053,-122.7002,44.19,49,75,11.5,broken clouds
Mikhaylovka,RU,50.06,43.2379,57.78,66,99,8.1,overcast clouds
Pacific Grove,US,36.6177,-121.9166,59.54,89,16,8.99,few clouds
Kushmurun,KZ,52.4503,64.6311,46.71,34,28,6.02,scattered clouds
Longyan,CN,25.1072,117.0225,71.22,95,79,3.4,broken clouds
Prenzlau,DE,53.3167,13.8667,55.22,81,94,15.73,overcast clouds
Zakamensk,RU,50.3741,103.2863,24.39,93,100,6.06,light snow
Manali,IN,13.1667,80.2667,86.09,84,59,9.17,broken clouds
Douentza,ML,14.9951,-2.9517,102.07,8,8,14.2,clear sky
Chapada Dos Guimaraes,BR,-15.4606,-55.7497,82.06,48,100,8.19,overcast clouds
Nago,JP,26.5881,127.9761,76.05,94,7,6.98,clear sky
Port Hawkesbury,CA,45.6169,-61.3485,41.43,88,100,14.97,overcast clouds
Douglas,US,41.3,-96.167,55.85,45,100,21.85,overcast clouds
Bulungu,CD,-4.55,18.6,75.25,82,51,1.19,broken clouds
Eyl,SO,7.9803,49.8164,82.49,68,5,9.57,clear sky
Merauke,ID,-8.4667,140.3333,79.11,85,94,4.45,overcast clouds
Morondava,MG,-20.2833,44.2833,76.84,86,100,9.71,overcast clouds
Goderich,CA,43.7501,-81.7165,73.72,49,100,17.27,overcast clouds
Malm,NO,64.0721,11.2172,49.78,67,100,3.31,overcast clouds
Turukhansk,RU,65.8167,87.9833,14.2,96,100,5.84,overcast clouds
Sobolevo,RU,54.4299,31.8996,47.39,79,89,7.38,overcast clouds
Drezdenko,PL,52.8383,15.8308,54.72,66,100,11.21,overcast clouds
Plymouth,US,41.8334,-70.8328,53.06,49,100,1.01,overcast clouds
Pangkalanbuun,ID,-2.6833,111.6167,77.05,90,76,1.57,light rain
Havelock,US,34.8791,-76.9013,79.99,69,20,11.5,few clouds
Barddhaman,IN,23.25,87.85,82.6,75,31,10.25,scattered clouds
Hami,CN,42.8,93.45,65.35,34,59,19.93,broken clouds
Lamar,US,33.6668,-95.5836,76.64,69,100,13.8,overcast clouds
Okrika,NG,4.7416,7.0849,79.41,79,100,5.53,overcast clouds
Launceston,AU,-41.45,147.1667,49.64,97,100,0.0,overcast clouds
Shache,CN,38.4167,77.2406,80.71,16,80,3.0,broken clouds
Pringsewu,ID,-5.3582,104.9744,74.44,98,55,3.94,broken clouds
Waitati,NZ,-45.75,170.5667,54.81,66,96,11.48,overcast clouds
Gat,IL,31.61,34.7642,74.39,100,2,1.95,clear sky
Luebo,CD,-5.35,21.4167,72.52,92,98,1.03,overcast clouds
Bacungan,PH,9.9106,118.7022,79.16,89,30,2.91,scattered clouds
Teguise,ES,29.0605,-13.564,62.82,68,40,8.05,scattered clouds
Saint Anthony,US,45.0205,-93.218,46.89,73,100,23.02,light intensity drizzle
Henties Bay,NA,-22.116,14.2845,60.03,78,1,14.61,clear sky
Tura,IN,25.5198,90.2201,73.71,63,0,5.61,clear sky
Dzaoudzi,YT,-12.7887,45.2699,82.29,78,0,5.75,clear sky
Todos Santos,MX,23.45,-110.2167,72.25,48,0,6.26,clear sky
Moree,AU,-29.4667,149.85,57.22,67,85,9.22,overcast clouds
Ust-Tsilma,RU,65.441,52.1498,27.46,95,63,3.69,broken clouds
Ouesso,CG,1.6136,16.0517,81.09,67,77,2.95,broken clouds
Itoman,JP,26.1247,127.6694,75.22,94,40,6.91,scattered clouds
Aberdeen,GB,57.1437,-2.0981,47.19,77,100,12.66,overcast clouds
Ponta Delgada,PT,37.7333,-25.6667,61.52,72,20,18.41,few clouds
Atagay,RU,55.1033,99.3875,21.29,75,68,5.08,broken clouds
Lodja,CD,-3.4833,23.4333,71.89,97,91,2.82,overcast clouds
Parsabad,IR,39.6482,47.9174,64.72,72,75,6.91,broken clouds
Goya,AR,-29.14,-59.2626,79.57,62,30,11.92,scattered clouds
Houston,US,29.7633,-95.3633,85.32,67,75,23.02,haze
Alim,PH,9.5649,122.4876,80.92,79,29,2.04,scattered clouds
Poronaysk,RU,49.2167,143.1167,31.8,84,43,8.59,scattered clouds
Morant Bay,JM,17.8815,-76.4093,83.71,73,98,11.12,overcast clouds
Mtambile,TZ,-5.3833,39.7,81.68,76,100,7.09,overcast clouds
Altay,CN,47.8667,88.1167,31.87,56,89,5.46,overcast clouds
Kizilskoye,RU,52.7255,58.8937,49.24,38,43,5.68,scattered clouds
Wanaka,NZ,-44.7,169.15,42.12,86,29,3.29,scattered clouds
Sao Desiderio,BR,-12.3633,-44.9733,87.91,42,40,4.5,scattered clouds
Antalaha,MG,-14.9003,50.2788,75.58,87,79,8.21,broken clouds
Jalu,LY,29.0331,21.5482,86.34,13,16,6.98,few clouds
Koratla,IN,18.8167,78.7167,94.51,25,71,3.09,broken clouds
Brae,GB,60.3964,-1.353,47.57,79,78,16.55,broken clouds
Kafanchan,NG,9.5833,8.3,86.79,46,87,7.38,overcast clouds
Umm Lajj,SA,25.0213,37.2685,78.4,52,0,3.06,clear sky
Pochutla,MX,15.7432,-96.4661,89.82,44,0,7.54,clear sky
Paramonga,PE,-10.6667,-77.8333,72.25,74,72,10.8,broken clouds
Bafq,IR,31.6128,55.4107,82.65,14,64,9.64,broken clouds
Inhambane,MZ,-23.865,35.3833,76.98,88,20,4.61,few clouds
Serov,RU,59.6033,60.5787,34.48,93,48,3.33,scattered clouds
Helsinki,FI,60.1695,24.9355,50.77,59,20,11.5,few clouds
Llangefni,GB,53.2556,-4.3106,59.11,51,45,21.85,scattered clouds
Lyngseidet,NO,69.5763,20.2189,39.2,100,100,3.65,overcast clouds
Dunhua,CN,43.3725,128.2425,42.76,43,68,3.56,broken clouds
Venice,US,27.0998,-82.4543,88.11,48,20,11.5,few clouds
Esmeraldas,BR,-19.7625,-44.3139,88.84,33,27,3.56,scattered clouds
Esso,RU,55.9333,158.7,27.55,98,100,1.72,light snow
Nova Olimpia,BR,-14.7972,-57.2881,91.04,48,100,5.61,overcast clouds
Klyuchi,RU,52.2667,79.1667,32.23,47,4,6.55,clear sky
Sangar,RU,63.9242,127.4739,3.02,98,56,2.37,broken clouds
Laguna De Perlas,NI,12.3429,-83.6712,78.89,74,41,4.54,scattered clouds
Torquay,GB,50.4638,-3.5143,62.08,79,62,6.44,broken clouds
Skovorodino,RU,53.9833,123.9167,25.95,58,25,3.2,scattered clouds
Ampanihy,MG,-24.7,44.75,77.72,66,100,1.77,overcast clouds
Alofi,NU,-19.0595,-169.9187,75.09,94,98,2.3,overcast clouds
Hohhot,CN,40.8106,111.6522,50.29,32,0,4.47,clear sky
Findlay,US,41.0442,-83.6499,80.55,58,98,20.07,overcast clouds
Macusani,PE,-14.0833,-70.4333,51.75,45,77,4.0,broken clouds
